,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
44,MobileNetV3,ImageNet,1,32,0,0.893,MobileNetV2,CIFAR-10,1,128,0,0.918,97.347,61.507,6690
45,MobileNetV3,ImageNet,1,32,0,1.0,MobileNetV2,CIFAR-10,1,128,1,0.946,63.986,31.775,5662
46,MobileNetV3,ImageNet,1,32,1,0.957,MobileNetV2,CIFAR-10,1,128,0,0.965,96.373,62.253,6500
47,MobileNetV3,ImageNet,1,32,1,1.029,MobileNetV2,CIFAR-10,1,128,1,0.968,65.0,29.986,5404
48,MobileNetV3,ImageNet,1,64,0,0.968,MobileNetV2,CIFAR-10,1,32,0,0.923,51.96,24.307,5796
49,MobileNetV3,ImageNet,1,64,0,0.976,MobileNetV2,CIFAR-10,1,32,1,0.878,43.528,14.861,5608
50,MobileNetV3,ImageNet,1,64,1,0.979,MobileNetV2,CIFAR-10,1,32,0,0.877,45.945,18.329,5236
51,MobileNetV3,ImageNet,1,64,1,0.989,MobileNetV2,CIFAR-10,1,32,1,0.964,40.164,11.123,5048
52,MobileNetV3,ImageNet,1,64,0,0.828,MobileNetV2,CIFAR-10,1,64,0,0.898,70.355,41.566,6266
53,MobileNetV3,ImageNet,1,64,0,0.954,MobileNetV2,CIFAR-10,1,64,1,0.933,52.247,22.342,5850
54,MobileNetV3,ImageNet,1,64,1,0.962,MobileNetV2,CIFAR-10,1,64,0,0.887,67.72,36.307,5738
55,MobileNetV3,ImageNet,1,64,1,0.997,MobileNetV2,CIFAR-10,1,64,1,0.934,47.917,18.25,5332
56,MobileNetV3,ImageNet,1,64,0,0.653,MobileNetV2,CIFAR-10,1,128,0,0.897,96.933,60.467,7288
57,MobileNetV3,ImageNet,1,64,0,0.865,MobileNetV2,CIFAR-10,1,128,1,0.905,65.662,34.901,6492
58,MobileNetV3,ImageNet,1,64,1,0.863,MobileNetV2,CIFAR-10,1,128,0,0.918,96.707,60.0,6720
59,MobileNetV3,ImageNet,1,64,1,0.996,MobileNetV2,CIFAR-10,1,128,1,0.957,68.243,31.622,5762
60,MobileNetV3,ImageNet,1,128,0,0.816,MobileNetV2,CIFAR-10,1,32,0,0.842,50.74,25.247,6980
61,MobileNetV3,ImageNet,1,128,0,0.887,MobileNetV2,CIFAR-10,1,32,1,0.879,45.845,17.845,6770
62,MobileNetV3,ImageNet,1,128,1,0.916,MobileNetV2,CIFAR-10,1,32,0,0.966,51.853,23.187,5848
63,MobileNetV3,ImageNet,1,128,1,0.996,MobileNetV2,CIFAR-10,1,32,1,0.923,44.466,14.178,5558
64,MobileNetV3,ImageNet,1,128,0,0.744,MobileNetV2,CIFAR-10,1,64,0,0.839,69.986,41.757,7450
65,MobileNetV3,ImageNet,1,128,0,0.795,MobileNetV2,CIFAR-10,1,64,1,0.933,57.137,25.123,7028
66,MobileNetV3,ImageNet,1,128,1,0.768,MobileNetV2,CIFAR-10,1,64,0,0.917,72.636,38.922,6248
67,MobileNetV3,ImageNet,1,128,1,0.882,MobileNetV2,CIFAR-10,1,64,1,0.864,50.153,19.319,5884
68,MobileNetV3,ImageNet,1,128,0,0.612,MobileNetV2,CIFAR-10,1,128,0,0.833,96.699,61.315,8436
69,MobileNetV3,ImageNet,1,128,0,0.746,MobileNetV2,CIFAR-10,1,128,1,0.9,67.826,32.884,7620
70,MobileNetV3,ImageNet,1,128,1,0.671,MobileNetV2,CIFAR-10,1,128,0,0.913,96.267,61.32,7298
71,MobileNetV3,ImageNet,1,128,1,0.776,MobileNetV2,CIFAR-10,1,128,1,0.931,70.186,31.5,6298
72,MobileNetV3,ImageNet,1,32,0,0.915,EfficientNet,CIFAR-10,1,32,0,1.035,35.027,6.986,5024
73,MobileNetV3,ImageNet,1,32,0,1.049,EfficientNet,CIFAR-10,1,32,1,0.949,30.315,6.123,4892
