job_id,priority
766066,-899
766067,1612
766068,5063
766070,-975
766071,-975
766072,-5454
766073,-899
766074,1672
766075,-1316
766077,8420
766080,3692
766081,2694
766083,-5709
766084,4917
766085,5775
766086,5010
766087,-899
766088,6277
766089,-975
766090,-9489
766091,1095
766092,-1225
766093,20919
766094,23436
766095,20253
766097,-2864
766098,-1398
766099,248838
766100,3267
766101,5662
766102,24937
766104,-2739
766107,4621
766108,19441
766109,5758
766111,4621
766112,2836
766113,1893
766114,-1587
766115,-3364
766116,4441
766117,-2117
766118,-3929
766119,364742
766120,-1628
766121,192478
766122,-2659
766123,4927
766124,4950
766125,-1965
766126,65
766127,1110
766128,-2537
766129,4462
766130,3372
766131,6403
766132,-2537
766133,8633
766134,-1572
766135,1662
766136,12320
766137,3606
766138,-1921
766139,-2456
766140,-2134
766141,6832
766142,-1131
766143,213
766145,2967
766146,5551
766148,6092
766150,3151
766152,4998
766153,2673
766154,11001
766155,7139
766156,25202
766157,5720
766158,4015
766159,2695
766160,5
766161,1164
766162,1513
766163,11869
766164,-16727
766165,629
766166,8271
766167,756
766168,213
766169,5121
766171,5621
766172,7540
766174,-3755
766175,6446
766176,3661
766177,-819
766178,3661
766179,4181
766180,4703
766181,4212
766182,-1695
766183,-16273
766184,4313
766185,25068
766186,-18116
766187,-1175
766188,-875
766189,3069
766190,-4596
766192,-325
766193,25883
766194,3796
766195,26597
766196,230489
766197,614
766198,16755
766199,-3797
766201,1025
766202,5841
766203,10035
766205,-17629
766206,-925
766207,-839
766208,-2121
766209,98
766210,-979
766211,75
766213,-1165
766214,-3884
766216,-1519
766218,6961
766219,-2363
766220,-875
766221,-1486
766222,-3625
766223,-1168
766225,-419
766226,-3230
766227,-278
766228,165446
766229,-3888
766230,-3230
766231,-703
766232,-1977
766233,-3240
766234,-325
766235,19928
766236,19928
766238,-924
766239,8824
766240,614
766241,264
766242,2286
766243,2286
766244,-315
766245,-1967
766246,4512
766247,2235
766248,-1333
766249,-168
766250,141780
766251,-2538
766252,-1086
766253,-2538
766254,92
766255,662
766256,1926
766257,2191
766258,-261
766259,6284
766260,-261
766261,3343
766262,4923
766263,-514
766264,682
766266,738
766267,5179
766269,2031
766270,11885
766271,3343
766272,7168
766273,2031
766274,-378
766275,-869
766276,-1104
766277,6982
766278,92
766279,-1509
766280,-316
766283,-453
766284,-306
766285,738
766287,-378
766288,-1499
766290,6656
766291,-316
766292,4302
766293,-1032
766294,2187
766295,652
766296,-1012
766297,-113
766302,678
766303,12
766304,115700
766305,-869
766306,-461
766307,2768
766309,393
766311,-1701
766312,-1701
766313,748
766314,-113
766316,-1823
766317,-2854
766320,-2162
766321,-1743
766322,5939
766323,425
766324,-1502
766325,2488
766326,4078
766327,-3515
766329,-1239
766330,2629
766331,1966
766332,5939
766333,-2446
766334,2816
766335,2844
766336,-105
766337,13568
766338,5693
766339,-598
766340,6083
766342,3031
766344,46
766345,1806
766346,-1305
766348,-155
766349,-1636
766350,6586
766353,-1211
766354,3038
766355,-1753
766356,-3806
766357,425
766358,-856
766359,-1447
766360,2992
766361,4617
766362,11154
766363,5951
766364,-1902
766365,2053
766367,-2477
766368,5644
766369,4039
766371,1995
766372,1441
766373,-1493
766375,5637
766376,29886
766377,-5473
766378,-856
766381,2936
766382,383
766383,46
766384,21849
766385,-1135
766386,6296
766387,-856
766388,-4819
766390,-2098
766391,2816
766393,-4997
766394,-1928
766395,-1753
766397,-684
766398,2629
766399,-1211
766400,-4173
766401,113530
766402,3719
766403,815
766404,-1239
766405,-4170
766407,-2690
766408,2936
766411,-1326
766414,4873
766415,-4808
766416,-1982
766417,-3140
766419,5490
766420,-2854
766422,4338
766424,145
766426,742
766427,19744
766429,-5327
766430,4755
766431,-2854
766432,-8076
766434,-6951
766436,4873
766437,-3871
766439,1476
766441,-847
766442,5676
766443,1800
766444,712
766445,-4797
766446,402
766449,-3010
766450,-199
766451,9874
766452,-3186
766453,4199
766454,-620
766459,2980
766460,-318
766461,2085
766462,-1422
766464,-1310
766463,-4542
766465,-4132
766466,1358
766467,-1806
766468,-6491
766469,2008
766470,497
766471,-378
766473,-629
766474,-5342
766475,-6350
766476,-2891
766478,-1112
766480,-563
766481,6027
766482,723
766483,-4651
766484,-1743
766486,-10135
766487,-452
766488,-1485
766491,-1067
766492,-2109
766493,-535
766495,2773
766496,-1924
766497,-2023
766500,-171
766501,7603
766502,-1242
766510,-1822
766512,177931
766514,8808
766515,-742
766516,-4143
766517,-17895
766518,1092
766519,-17511
766521,-1913
766522,159728
766524,-17764
